# Crustal GMPE, Moratalla
6.0 7.5 8.723
6.0 8.0 5.680
6.1 2.5 354.813
6.1 3.0 273.771
6.1 3.5 204.025
6.1 4.0 143.918
6.1 4.5 95.376
6.1 5.0 58.701
6.1 5.5 35.150
6.1 6.0 24.351
6.1 6.5 18.023
6.1 7.0 13.339
6.1 7.5 9.515
6.1 8.0 6.306
6.2 2.5 398.107
6.2 3.0 291.488
6.2 3.5 218.824
6.2 4.0 155.516
6.2 4.5 103.677
6.2 5.0 64.156
6.2 5.5 38.089
6.2 6.0 26.158
6.2 6.5 19.537
6.2 7.0 14.468
6.2 7.5 10.359
6.2 8.0 6.951
6.3 2.5 398.107
6.3 3.0 308.698
6.3 3.5 233.136
6.3 4.0 166.817
6.3 4.5 111.939
6.3 5.0 69.623
6.3 5.5 40.969
6.3 6.0 28.005
6.3 6.5 20.969
6.3 7.0 15.513
6.3 7.5 11.126
6.3 8.0 7.513
6.4 2.5 446.684
6.4 3.0 326.305
6.4 3.5 248.221
6.4 4.0 178.896
6.4 4.5 120.666
6.4 5.0 75.605
6.4 5.5 43.926
6.4 6.0 30.225
6.4 6.5 22.531
6.4 7.0 16.635
6.4 7.5 11.932
6.4 8.0 8.109
6.5 2.5 446.684
6.5 3.0 344.478
6.5 3.5 263.571
6.5 4.0 191.350
6.5 4.5 130.049
6.5 5.0 82.016
6.5 5.5 47.699
6.5 6.0 32.482
6.5 6.5 24.219
6.5 7.0 17.854
6.5 7.5 12.803
6.5 8.0 8.734
6.6 2.5 501.187
6.6 3.0 361.985
6.6 3.5 278.724
6.6 4.0 203.618
6.6 4.5 139.285
6.6 5.0 88.185
6.6 5.5 50.690
6.6 6.0 34.627
6.6 6.5 25.845
6.6 7.0 18.989
6.6 7.5 13.596
6.6 8.0 9.287
6.7 2.5 501.187
6.7 3.0 379.642
6.7 3.5 293.962
6.7 4.0 216.286
6.7 4.5 148.934
6.7 5.0 94.740
6.7 5.5 54.889
6.7 6.0 37.197
6.7 6.5 27.607
6.7 7.0 20.220
6.7 7.5 14.446
6.7 8.0 9.875
6.8 2.5 501.187
6.8 3.0 397.693
6.8 3.5 309.405
6.8 4.0 229.067
6.8 4.5 158.892
6.8 5.0 101.527
6.8 5.5 58.585
6.8 6.0 39.724
6.8 6.5 29.401
6.8 7.0 21.448
6.8 7.5 15.280
6.8 8.0 10.432
6.9 2.5 562.341
6.9 3.0 414.674
6.9 3.5 324.546
6.9 4.0 241.721
6.9 4.5 168.682
6.9 5.0 108.393
6.9 5.5 62.825
6.9 6.0 42.374
6.9 6.5 31.227
6.9 7.0 22.682
6.9 7.5 16.099
6.9 8.0 10.967
7.0 2.5 562.341
7.0 3.0 432.404
7.0 3.5 339.971
7.0 4.0 254.930
7.0 4.5 179.147
7.0 5.0 115.706
7.0 5.5 67.275
7.0 6.0 45.268
7.0 6.5 33.190
7.0 7.0 23.992
7.0 7.5 16.959
7.0 8.0 11.524
7.1 2.5 562.341
7.1 3.0 450.591
7.1 3.5 356.113
7.1 4.0 268.261
7.1 4.5 189.799
7.1 5.0 123.468
7.1 5.5 72.198
7.1 6.0 48.408
7.1 6.5 35.324
7.1 7.0 25.407
7.1 7.5 17.882
7.1 8.0 12.104
7.2 2.5 630.957
7.2 3.0 468.310
7.2 3.5 371.846
7.2 4.0 282.370
7.2 4.5 201.124
7.2 5.0 131.598
7.2 5.5 77.528
7.2 6.0 51.834
7.2 6.5 37.624
7.2 7.0 26.916
7.2 7.5 18.848
7.2 8.0 12.719
7.3 2.5 630.957
7.3 3.0 486.748
7.3 3.5 388.340
7.3 4.0 296.238
7.3 4.5 212.565
7.3 5.0 140.279
7.3 5.5 83.027
7.3 6.0 55.575
7.3 6.5 40.133
7.3 7.0 28.549
7.3 7.5 19.890
7.3 8.0 13.352
7.4 2.5 630.957
7.4 3.0 505.526
7.4 3.5 405.037
7.4 4.0 310.894
7.4 4.5 224.740
7.4 5.0 149.213
7.4 5.5 88.859
7.4 6.0 59.643
7.4 6.5 42.852
7.4 7.0 30.302
7.4 7.5 20.985
7.4 8.0 14.030
7.5 2.5 630.957
7.5 3.0 523.729
7.5 3.5 421.694
7.5 4.0 325.593
7.5 4.5 236.899
